slug,occupation,isco,lse_2024_group_code,lse_2024_group_label,lse_2024_monthly_median,lse_2024_annual_benchmark,pay_previous,source_pay_previous,pay_dashboard,pay_refresh_method,pay_mapping_level,pay_mapping_confidence,jobs_2023_base,source_jobs_previous,jobs_dashboard_2024_calibrated,jobs_refresh_factor,jobs_refresh_method,source_pay,source_jobs
buchhalter-in,Buchhalter/-in,2411,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,87000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,95000,BFS SAKE 2023,95500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
finanzberater-in,Finanzberater/-in,2412,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,118000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,42000,BFS SAKE 2023,42200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
steuerberater-in,Steuerberater/-in,2411,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,105000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,28000,BFS SAKE 2023,28200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
jurist-in,Jurist/-in,2611,26,"26 Juristen, Sozialwissenschaftler und Kulturberufe",9122,119000,130000,BFS LSE 2022,119000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,35000,BFS SAKE 2023,35200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 26,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
treuhaender-in,Treuhänder/-in,2411,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,92000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
versicherungskaufmann,Versicherungskaufmann/-frau,3321,33,33 Betriebswirtschaftliche und kaufmännische Fachkräfte und Verwaltungsfachkräfte,7900,103000,78000,BFS LSE 2022,103000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,55000,BFS SAKE 2023,55300,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 33,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
anlageberater-in,Anlageberater/-in (Private Banking),2412,24,24 Betriebswirte und vergleichbare Spezialisten,9509,124000,145000,BFS LSE 2022,124000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 24,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
softwareentwickler-in,Softwareentwickler/-in,2512,25,25 Spezialisten in der Informations- und Kommunikationstechnologie,9949,129000,115000,BFS LSE 2022,129000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,88000,BFS SAKE 2023,88500,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 25,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
data-scientist,Data Scientist,2120,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,125000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,22000,BFS SAKE 2023,22100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
sysadmin,Systemadministrator/-in,2522,25,25 Spezialisten in der Informations- und Kommunikationstechnologie,9949,129000,98000,BFS LSE 2022,129000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,32000,BFS SAKE 2023,32200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 25,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
it-projektleiter,IT-Projektleiter/-in,1330,13,13 Führungskräfte in der Produktion und bei spezialisierten Dienstleistungen,9594,125000,120000,BFS LSE 2022,125000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,28000,BFS SAKE 2023,28200,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 13,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
cybersecurity,Cybersecurity-Spezialist/-in,2529,25,25 Spezialisten in der Informations- und Kommunikationstechnologie,9949,129000,130000,BFS LSE 2022,129000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,18000,BFS SAKE 2023,18100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 25,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
ux-designer,UX Designer/-in,2166,21,"21 Naturwissenschaftler, Mathematiker und Ingenieure",8730,113000,100000,BFS LSE 2022,113000,lse_2024_ch_isco_group_median,"CH-ISCO-19 Berufsgruppe, 2-Steller",mittel,12000,BFS SAKE 2023,12100,1.005776,SAKE-2023-Berufsmix proportional mit SAKE-Gesamtwachstum 2023-2024 skaliert,BFS LSE 2024 CH-ISCO 21,BFS SAKE 2024 total-skaliert (2023 Berufsmix)
